Front;Back
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/7578142/medium.jpg""><br>What is the scientific name of this plant?";Abies concolor
"<img src=""https://static.inaturalist.org/photos/86547995/medium.jpg""><br>What is the scientific name of this plant?";Abies magnifica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/53608231/medium.jpg""><br>What is the genus of this plant?";Abronia spp.
"<img src=""https://static.inaturalist.org/photos/12773260/medium.jpg""><br>What is the scientific name of this plant?";Acacia dealbata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/50770885/medium.jpg""><br>What is the scientific name of this plant?";Acer glabrum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/105744044/medium.jpeg""><br>What is the scientific name of this plant?";Acer macrophyllum
What is the scientific name of this plant?;Acer negundo
"<img src=""https://static.inaturalist.org/photos/19971995/medium.jpeg""><br>What is the scientific name of this plant?";Achillea millefolium
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/37302458/medium.jpg""><br>What is the scientific name of this plant?";Achyrachaena mollis
"<img src=""https://static.inaturalist.org/photos/699816/medium.jpg""><br>What is the genus of this plant?";Acmispon spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/142187743/medium.jpg""><br>What is the scientific name of this plant?";Aconitum columbianum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/20754314/medium.jpg""><br>What is the scientific name of this plant?";Acourtia microcephala
"<img src=""https://static.inaturalist.org/photos/74777472/medium.jpg""><br>What is the scientific name of this plant?";Adenostoma fasciculatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/76874/medium.jpg""><br>What is the scientific name of this plant?";Adiantum aleuticum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/10294/medium.jpg""><br>What is the scientific name of this plant?";Adiantum jordanii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/60392406/medium.jpeg""><br>What is the genus of this plant?";Aegilops spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/72460428/medium.jpg""><br>What is the scientific name of this plant?";Aesculus californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5723327/medium.jpg""><br>What is the scientific name of this plant?";Agave deserti
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/437609/medium.jpg""><br>What is the scientific name of this plant?";Agoseris retrorsa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/222942510/medium.jpg""><br>What is the scientific name of this plant?";Ailanthus altissima
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/99841/medium.jpg""><br>What is the scientific name of this plant?";Allenrolfea occidentalis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/13632/medium.jpg""><br>What is the genus of this plant?";Allium spp.
"<img src=""https://static.inaturalist.org/photos/177275/medium.jpg""><br>What is the scientific name of this plant?";Allophyllum glutinosum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/55405328/medium.jpeg""><br>What is the scientific name of this plant?";Alnus rhombifolia
"<img src=""https://static.inaturalist.org/photos/20308837/medium.jpg""><br>What is the genus of this plant?";Amaranthus spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/25386149/medium.jpg""><br>What is the scientific name of this plant?";Ambrosia acanthicarpa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/43337/medium.jpg""><br>What is the scientific name of this plant?";Ambrosia chamissonis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/303178849/medium.jpg""><br>What is the scientific name of this plant?";Ambrosia psilostachya var. californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/14278186/medium.jpg""><br>What is the scientific name of this plant?";Ambrosia salsola
"<img src=""https://static.inaturalist.org/photos/23583014/medium.jpg""><br>What is the scientific name of this plant?";Ammophila arenaria
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/18747/medium.jpg""><br>What is the scientific name of this plant?";Amorpha californica
